Name,Party
Rep. Diana DeGette,Democrat
Rep. Monica De La Cruz,Republican
Rep. Rosa DeLauro,Democrat
Rep. Suzan DelBene,Democrat
Rep. Christopher Deluzio,Democrat
Rep. Mark DeSaulnier,Democrat
Rep. Scott DesJarlais,Republican
Rep. Maxine Dexter,Democrat
Rep. Mario Diaz-Balart,Republican
Rep. Debbie Dingell,Democrat
Rep. Lloyd Doggett,Democrat
Rep. Byron Donalds,Republican
Rep. Troy Downing,Republican
Rep. Neal Dunn,Republican
Rep. Chuck Edwards,Republican
Rep. Sarah Elfreth,Democrat
Rep. Jake Ellzey,Republican
Rep. Tom Emmer,Republican
Rep. Veronica Escobar,Democrat
Rep. Adriano Espaillat,Democrat
Rep. Ron Estes,Republican
Rep. Dwight Evans,Democrat
Rep. Gabe Evans,Republican
Rep. Mike Ezell,Republican
Rep. Pat Fallon,Republican
Rep. Julie Fedorchak,Republican
Rep. Randy Feenstra,Republican
Rep. Cleo Fields,Democrat
Rep. Shomari Figures,Democrat
Rep. Randy Fine,Republican
Rep. Brad Finstad,Republican
Rep. Michelle Fischbach,Republican
Rep. Scott Fitzgerald,Republican
Rep. Brian Fitzpatrick,Republican
Rep. Charles Fleischmann,Republican
Rep. Lizzie Fletcher,Democrat
Rep. Mike Flood,Republican
Rep. Vince Fong,Republican
Rep. Bill Foster,Democrat
Rep. Valerie Foushee,Democrat
Rep. Virginia Foxx,Republican
Rep. Lois Frankel,Democrat
Rep. Scott Franklin,Republican
Rep. Laura Friedman,Democrat
Rep. Maxwell Frost,Democrat
Rep. Russell Fry,Republican
Rep. Russ Fulcher,Republican
Rep. John Garamendi,Democrat
Rep. Andrew Garbarino,Republican
Rep. Jesus Garcia,Democrat
Rep. Robert Garcia,Democrat
Rep. Sylvia Garcia,Democrat
Rep. Brandon Gill,Republican
Rep. Laura Gillen,Democrat
Rep. Carlos Gimenez,Republican
Rep. Jared Golden,Democrat
Rep. Craig Goldman,Republican
Rep. Daniel Goldman,Democrat
Rep. Jimmy Gomez,Democrat
Rep. Tony Gonzales,Republican
Rep. Vicente Gonzalez,Democrat
Rep. Lance Gooden,Republican
Rep. Maggie Goodlander,Democrat
Rep. Paul Gosar,Republican
Rep. Josh Gottheimer,Democrat
Rep. Sam Graves,Republican
Rep. Adam Gray,Democrat
Rep. Al Green,Democrat
Rep. H. Griffith,Republican
Rep. Adelita Grijalva,Democrat
Rep. Glenn Grothman,Republican
Rep. Michael Guest,Republican
Rep. Brett Guthrie,Republican
Rep. Harriet Hageman,Republican
Rep. Abraham Hamadeh,Republican
Rep. Josh Harder,Democrat
Rep. Mike Haridopolos,Republican
Rep. Pat Harrigan,Republican
Rep. Andy Harris,Republican
Rep. Mark Harris,Republican
Rep. Diana Harshbarger,Republican
Rep. Jahana Hayes,Democrat
Rep. Kevin Hern,Republican
Rep. Pablo Hernandez,Democrat
Rep. Clay Higgins,Republican
Rep. J. Hill,Republican
Rep. James Himes,Democrat
Rep. Ashley Hinson,Republican
Rep. Steven Horsford,Democrat
Rep. Erin Houchin,Republican
Rep. Chrissy Houlahan,Democrat
Rep. Steny Hoyer,Democrat
Rep. Val Hoyle,Democrat
Rep. Richard Hudson,Republican
Rep. Jared Huffman,Democrat
Rep. Bill Huizenga,Republican
Rep. Wesley Hunt,Republican
Rep. Jeff Hurd,Republican
Rep. Darrell Issa,Republican
Rep. Glenn Ivey,Democrat
Rep. Brian Jack,Republican
Rep. Jonathan Jackson,Democrat
Rep. Ronny Jackson,Republican
Rep. Sara Jacobs,Democrat
Rep. John James,Republican
Rep. Pramila Jayapal,Democrat
Rep. Hakeem Jeffries,Democrat
Rep. Dusty Johnson,Republican
Rep. Henry Johnson,Democrat
Rep. Julie Johnson,Democrat
Rep. Jim Jordan,Republican
Rep. David Joyce,Republican
Rep. John Joyce,Republican
Rep. Sydney Kamlager-Dove,Democrat
Rep. Marcy Kaptur,Democrat
Rep. Thomas Kean,Republican
Rep. William Keating,Democrat
Rep. Mike Kelly,Republican
Rep. Robin Kelly,Democrat
Rep. Trent Kelly,Republican
Rep. Mike Kennedy,Republican
Rep. Timothy Kennedy,Democrat
